minute_idx,BTC,DOGE,ETH,SOL,XRP
0,2148019.1872115214,24280.706379462365,1389281.0868298924,391548.9062271739,85477.20507419355
1,2078571.641738899,50749.78000568808,1528046.0600383487,351446.5237330275,64878.98169082569
2,1451674.2602709173,76968.45101036697,1172981.8542242202,262532.17331284407,51168.22789541284
3,1552296.7097242593,148408.1116763889,994479.1115162963,238914.76444351854,71429.61067592593
4,1554455.556529818,29789.62724590909,1701466.019442,545855.9008654546,110924.24316545455
5,1549957.2043350001,18421.394552545455,1413068.7529172727,633645.6509872727,95262.37272727273
6,1612255.0896219092,22388.724800636366,1134492.5761387271,443408.4333818182,62311.66084636364
7,1533643.4892045455,28475.800534181817,1232413.7805887274,573489.4111081818,86975.7301281818
8,1349662.2614327928,12392.32499135135,1591891.7569575675,377135.7190153153,71144.48086846847
9,1345317.0898455454,15388.638233727273,1090251.7562020908,435601.24570090906,39972.33821636364
10,4401080.624730734,22359.802772844036,765574.4894795412,288689.18253944954,64820.62798440367
11,1399541.3041165138,21474.369532844037,1973333.3567794496,540369.4384798165,56505.09647614679
12,936335.7926658877,22422.794512149532,949233.349000187,377365.0321429907,46090.545446728975
13,1248974.5311253637,14440.97572909091,2912860.6038748184,287897.2244709091,32135.133853636366
14,1967954.9118156882,19444.543066146787,1199766.2189106422,358068.3158889908,61846.30599174312
15,3815444.7773222933,19868.290761926604,1829037.5611720183,439552.6928403669,90631.56067431193
16,4798620.170287592,39367.28453546296,1510033.648701111,334841.21909166663,50192.601974074074
17,2652551.219879266,163219.25971495413,1880733.38637211,398430.05885412847,38869.53573211009
18,4210443.779640803,129343.08084410713,1133182.3964936608,326222.9598473214,91595.71346216215
19,1628598.1883543634,76954.56455372728,1116571.4756355456,439146.4392554545,41120.90698198198
20,1766359.4774200001,98532.270271,1128576.3289132728,758251.2549917431,131038.91800917432
21,2306625.4298647274,33828.27523027273,1137085.1743654546,327247.52387477475,30874.692472972973
22,2092732.6766360002,9496.213937909091,1029281.6967125455,348693.2337118182,138853.12713
23,2584624.793879541,10747.351478440367,991406.7648703669,378905.80969816516,137492.4559733945
24,2706038.1777801835,88953.98769871559,1206002.5977759634,352227.761846789,76934.85383394496
25,2441200.3077693516,26273.324231296294,1525262.0350982407,506340.9071388889,106279.93509907408
26,1742743.399078919,37231.77591558558,1447180.7781195496,294280.5531288288,70411.04233243244
27,1387115.687899633,31217.549532477064,1744914.9034377981,290332.7115899082,61858.1496293578
28,1692468.8267343119,31627.86363431193,1087252.4740604588,238946.6367825688,42728.684980733946
29,1507117.809147909,8683.761475181818,1278491.3707557272,336362.7378954545,52087.05631
30,1565234.2767353212,23161.359506972476,2114239.521786697,596596.8224238532,139478.47590733945
31,1138263.5316822522,22407.508355135134,1567913.0470653153,701683.9742720721,214057.6562981982
32,1957603.9961685587,16663.815813693695,1451951.0222087386,535137.3424990991,144442.54202342342
33,1716304.2534095412,16744.156912201837,1663290.257176055,561934.9745091744,87222.48159908257
34,1152412.4574910093,20982.68197146789,1142988.3452233945,518750.5141174312,73392.71733027523
35,1079513.0952024546,57211.32006127272,1075462.5052513636,465047.3773,106616.66312818181
36,2120862.43222,33437.64632174312,1617747.9281640367,490377.7362256881,80925.09991926605
37,1953644.8517540367,23104.07078651376,1263971.6220122017,396008.06779633026,78170.03260458715
38,2556176.1123022726,19710.147291545454,1711363.4797156365,418940.40792818187,47987.51121363637
39,1862192.7790300918,19254.689305504588,2324813.3105455963,256162.27059174312,78604.38569449542
40,1205938.149988091,20985.18604781818,841318.0293196364,497692.68472818186,207449.66504545455
41,1919079.3245513763,18991.565148073394,1128532.233054954,405727.22521743114,152597.03005779817
